id,name,gender,age,education,profession,income,living_with,nation,phone,job,fb_freq,yt_freq,tik_freq,use_less_than_2GB,use_2GB_to_4GB,marriage_status,number_child,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score,number_of_suggestions,number_of_plans,number_of_accept,number_of_accept_2,mobile_plan
11156,Rachel Gibbs,Female,21,Unknown,Unemployed,938400000.0,Unmarried_2,Australia,(08)-8012-7556,Astronomer,0,0,9,8,3,Unmarried,2,Travel,Alone,Sunny,13:00,1,0,0,0,1,0,3,2,1.0,1,DATASILVER
4297,Karen Anderson,Other,22,Unknown,Unemployed,984000000.0,Unmarried_2,England,943-646-5203,Air cabin crew,0,0,23,7,2,Unmarried,2,Travel,Friends,Sunny,09:00,0,1,0,0,1,0,4,3,1.0,1,SOCIALMEDIAGOLD
13301,김지원,Female,24,Unknown,Unemployed,1063200000.0,Unmarried_1,Korea,010-4500-9888,Mechanical engineering technician and researcher,0,0,23,5,2,Unmarried,1,Travel,Friends,Sunny,15:00,0,1,0,0,1,0,4,3,1.0,1,DATASILVER
9920,Elisabeth Wähner,Female,24,Unknown,Unemployed,1065600000.0,Unmarried_1,Denmark,+49(0) 587406963,Medical informatics specialist,0,0,21,7,2,Unmarried,1,Travel,Friends,Sunny,14:00,0,1,0,0,1,30,2,2,1.0,1,SOCIALMEDIAGOLD
8424,Sra. Maria Luiza Nogueira,Female,25,Unknown,Unemployed,1100000000.0,Unmarried_1,Brazil,(084) 0568 1445,Ufologist,0,0,22,5,3,Unmarried,1,Travel,Family,Sunny,10:00,0,1,0,0,1,0,2,2,1.0,1,DATASILVER
6771,渡辺 千代,Female,21,Unknown,Unemployed,1113600000.0,Unmarried_1,Japan,090-3085-6096,enka singer,0,0,14,5,3,Unmarried,1,Travel,Family,Sunny,08:00,0,1,0,0,1,0,5,4,1.0,1,SOCIALMEDIAGOLD
15308,Lisa Olson,Female,24,Unknown,Unemployed,1100000000.0,Unmarried_2,England,001-406-807-3242,Trading standards officer,0,0,19,8,2,Unmarried,2,Travel,Family,Sunny,14:00,1,0,0,0,1,29,5,5,1.0,1,DATASILVER
14139,Susan Ryan,Female,22,Unknown,Unemployed,980000000.0,Unmarried_2,Us,+1-891-222-2144x7858,Pensions consultant,0,0,10,6,3,Unmarried,2,Travel,Family,Sunny,13:00,0,1,0,0,1,0,2,2,1.0,1,DATASILVER
17824,鈴木 翔太,Other,24,Unknown,Unemployed,1150000000.0,Unmarried_2,Japan,090-2803-7648,idol,0,0,17,6,2,Unmarried,2,Travel,Family,Sunny,16:00,0,1,0,0,1,25,4,3,1.0,1,SOCIALMEDIA
16372,Beverly Lopez,Other,24,Unknown,Unemployed,1180000000.0,Unmarried_1,England,647.614.5318x5041,Land/geomatics surveyor,0,0,11,8,2,Unmarried,1,Visit,Alone,Sunny,15:00,1,0,0,1,0,0,5,4,1.0,1,DATACALL
1573,张凤兰,Female,23,Unknown,Unemployed,1110000000.0,Unmarried_2,China,15909858373,website planning,0,0,16,8,1,Unmarried,2,Visit,Alone,Sunny,16:00,0,1,0,0,1,0,3,2,2.0,2,"DATAGOLD, DATACALL"
11835,Dipl.-Ing. Bozena Reichmann,Female,23,Unknown,Unemployed,1041600000.0,Unmarried_2,Denmark,06548 209250,Medical informatics specialist,0,0,22,6,3,Unmarried,2,Work,Alone,Sunny,07:00,0,0,1,0,1,0,2,2,1.0,1,SOCIALMEDIA
19253,Christine Coffey,Female,22,Unknown,Unemployed,1140000000.0,Unmarried_1,Us,953-968-9491,Homeopath,0,0,23,8,1,Unmarried,1,Work,Alone,Sunny,06:00,0,1,0,0,1,32,2,2,1.0,1,DATAGOLD
10399,Jessica Ali,Female,21,Unknown,Unemployed,1130000000.0,Unmarried_1,England,842-865-1842,Barista,0,0,23,5,3,Unmarried,1,Work,Alone,Sunny,07:00,1,0,0,1,0,0,2,2,1.0,1,SOCIALMEDIAGOLD
3502,Susan Peters,Female,25,Unknown,Unemployed,969600000.0,Unmarried_1,Us,001-815-515-6483x2628,Volunteer coordinator,0,0,16,4,3,Unmarried,1,Work,Alone,Sunny,07:00,0,1,0,0,1,0,4,3,1.0,1,SOCIALMEDIA
3051,小川 智也,Male,25,Bachelor,Architecture & Engineering,1680000000.0,Single_0,Japan,090-7082-4681,judicial scrivener,0,0,8,5,0,Single,0,Travel,Alone,Sunny,14:00,1,0,0,0,1,13,1,1,0.0,0,Unknown
